term,frequency,rank
gastrointestinal,248,1021
joints,248,1022
flat,248,1023
included,248,1024
angle,247,1025
reduced,247,1026
rectum,247,1027
decided,247,1028
fraction,246,1029
overlying,246,1030
appendix,246,1031
phalanx,246,1032
sure,245,1033
longitudinal,245,1034
palate,245,1035
affect,244,1036
opening,244,1037
takes,243,1038
slight,243,1039
xylocaine,243,1040
evaluate,243,1041
stay,243,1042
nondistended,242,1043
palpated,242,1044
margin,242,1045
seizures,242,1046
food,241,1047
held,241,1048
veins,241,1049
fluoroscopic,241,1050
speculum,241,1051
fairly,240,1052
tylenol,240,1053
penis,240,1054
fact,240,1055
result,240,1056
date,239,1057
metzenbaum,239,1058
mood,239,1059
exercise,238,1060
service,238,1061
answered,238,1062
rashes,238,1063
pole,238,1064
advised,238,1065
nature,237,1066
possibility,237,1067
discussion,237,1068
laceration,237,1069
getting,237,1070
versed,237,1071
implant,236,1072
increasing,236,1073
many,235,1074
pack,235,1075
extraocular,235,1076
took,235,1077
undergo,235,1078
fatigue,235,1079
available,234,1080
whether,234,1081
volume,234,1082
discectomy,234,1083
instrument,233,1084
illicit,233,1085
hematuria,233,1086
became,233,1087
asthma,232,1088
progressive,232,1089
proceeded,232,1090
peritoneal,232,1091
major,232,1092
patella,232,1093
intubated,231,1094
pending,231,1095
comes,231,1096
noticed,231,1097
inches,231,1098
walking,230,1099
disposition,230,1100
intermittent,230,1101
thin,230,1102
monitored,229,1103
rotator,229,1104
support,228,1105
persistent,228,1106
ligaments,228,1107
touch,228,1108
foramen,227,1109
cataract,227,1110
marginal,227,1111
possibly,226,1112
working,225,1113
apnea,225,1114
appointment,225,1115
options,225,1116
future,225,1117
chemotherapy,225,1118
radiculopathy,225,1119
understood,224,1120
surrounding,224,1121
walk,223,1122
dyspnea,223,1123
wheezing,222,1124
pressures,222,1125
pink,222,1126
attached,222,1127
branches,221,1128
smoke,221,1129
stone,221,1130
septal,221,1131
pattern,220,1132
hysterectomy,220,1133
dressings,220,1134
even,219,1135
dental,219,1136
regurgitation,218,1137
ascending,218,1138
edge,218,1139
indicated,218,1140
induced,218,1141
give,218,1142
narrowing,217,1143
congestion,217,1144
yesterday,217,1145
modified,217,1146
decrease,217,1147
microscope,217,1148
retractor,216,1149
sitting,216,1150
nursing,216,1151
subclavian,216,1152
cutting,215,1153
